var,outcome
prev.base,"22.9 (22.0, 23.7)"
prev.base.B,"38.3 (36.5, 39.6)"
prev.base.H,"14.7 (12.6, 17.0)"
prev.base.W,"8.0 (7.4, 8.7)"
prev.dx.base,"18.9 (18.3, 19.6)"
prev.dx.base.B,"31.2 (30.1, 32.2)"
prev.dx.base.H,"11.7 (9.9, 13.7)"
prev.dx.base.W,"7.1 (6.6, 7.7)"
incid.base,"2.37 (1.87, 2.96)"
incid.base.B,"1.90 (1.46, 2.41)"
incid.base.H,"0.08 (0.02, 0.17)"
incid.base.W,"0.38 (0.22, 0.60)"
ir100.base,"1.35 (1.06, 1.70)"
ir100.base.B,"2.84 (2.15, 3.62)"
ir100.base.H,"0.81 (0.20, 1.82)"
ir100.base.W,"0.39 (0.23, 0.61)"