scenario,ir100,pia,ir100.B,pia.B,ir100.H,pia.H,ir100.W,pia.W,link1m,vl.supp,vl.supp.all,link1m.B,vl.supp.B,vl.supp.all.B,link1m.H,vl.supp.H,vl.supp.all.H,link1m.W,vl.supp.W,vl.supp.all.W
3500,"1.18 (0.90, 1.50)",NA,"2.39 (1.77, 3.07)",NA,"0.61 (0.00, 1.57)",NA,"0.35 (0.19, 0.56)",NA,"64.7 (61.9, 68.1)","58.2 (56.1, 60.2)","48.8 (46.8, 50.9)","62.2 (59.0, 65.9)","55.4 (53.0, 57.6)","45.8 (43.6, 48.0)","65.5 (48.0, 81.8)","58.8 (47.1, 69.8)","48.1 (37.2, 59.0)","76.5 (70.1, 82.6)","71.1 (66.8, 75.5)","64.1 (59.4, 68.4)"
3501,"0.97 (0.73, 1.25)","12.1 (11.8, 12.3)","1.95 (1.43, 2.54)","11.8 (11.6, 12.1)","0.57 (0.00, 1.27)","13.9 (13.0, 14.9)","0.29 (0.14, 0.46)","12.9 (12.4, 13.4)","64.8 (61.7, 67.7)","66.9 (65.0, 68.7)","57.2 (55.2, 59.2)","62.2 (58.8, 65.6)","64.5 (62.4, 66.5)","54.4 (52.3, 56.6)","65.3 (46.4, 82.1)","67.2 (55.7, 77.8)","55.7 (45.8, 66.2)","76.5 (69.4, 83.0)","77.9 (73.9, 81.5)","71.1 (66.8, 75.1)"
3502,"0.84 (0.62, 1.09)","19.1 (18.9, 19.4)","1.67 (1.20, 2.22)","19.0 (18.7, 19.2)","0.40 (0.00, 1.19)","20.6 (19.8, 21.6)","0.23 (0.11, 0.38)","19.8 (19.3, 20.2)","64.6 (61.5, 67.9)","72.2 (70.4, 74.1)","62.4 (60.4, 64.5)","62.2 (58.7, 65.6)","70.1 (68.1, 72.2)","59.9 (57.8, 62.2)","64.5 (46.2, 81.5)","72.4 (61.7, 82.8)","61.0 (50.6, 72.6)","76.5 (69.2, 83.1)","81.7 (78.0, 85.4)","75.2 (71.0, 79.4)"
3503,"0.60 (0.42, 0.83)","31.5 (31.2, 31.7)","1.19 (0.78, 1.69)","31.3 (31.1, 31.6)","0.38 (0.00, 0.98)","32.5 (32.1, 33.3)","0.17 (0.06, 0.31)","31.9 (31.5, 32.3)","64.6 (61.1, 68.0)","82.0 (80.5, 83.6)","72.6 (70.4, 74.5)","62.3 (58.5, 66.1)","80.7 (78.8, 82.4)","70.6 (68.3, 72.6)","64.3 (45.1, 82.6)","82.0 (71.7, 90.8)","70.5 (60.9, 81.6)","76.1 (68.3, 83.5)","88.3 (84.9, 91.3)","82.6 (78.7, 86.5)"
3504,"0.42 (0.26, 0.61)","40.5 (40.3, 40.7)","0.82 (0.49, 1.22)","40.4 (40.2, 40.6)","0.20 (0.00, 0.79)","41.6 (40.7, 42.3)","0.11 (0.02, 0.23)","40.6 (40.2, 41.0)","64.6 (61.2, 68.2)","89.2 (87.9, 90.5)","80.2 (78.5, 82.1)","62.3 (58.4, 66.1)","88.4 (87.0, 89.9)","78.8 (76.8, 80.9)","65.2 (44.4, 85.0)","89.1 (80.3, 95.5)","78.7 (68.1, 87.5)","76.6 (69.3, 83.6)","92.7 (89.8, 95.1)","87.8 (84.4, 90.9)"
,,,,,,,,,,,,,,,,,,,,
3505,"1.00 (0.75, 1.27)","10.4 (10.2, 10.7)","2.00 (1.46, 2.60)","10.6 (10.4, 10.9)","0.59 (0.00, 1.41)","10.4 (9.3, 11.2)","0.29 (0.15, 0.48)","9.5 (9.0, 10.0)","64.8 (61.7, 68.0)","65.5 (63.5, 67.3)","55.8 (53.8, 57.7)","62.3 (58.9, 66.0)","64.5 (62.4, 66.7)","54.3 (52.1, 56.5)","64.9 (45.4, 82.1)","58.2 (46.7, 69.7)","47.9 (37.7, 59.5)","76.5 (69.7, 82.8)","70.7 (66.4, 74.9)","64.4 (59.9, 68.6)"
3506,"0.88 (0.65, 1.15)","16.9 (16.7, 17.2)","1.73 (1.26, 2.34)","17.2 (17.0, 17.5)","0.41 (0.00, 1.24)","16.7 (15.8, 17.6)","0.27 (0.13, 0.42)","15.3 (14.9, 15.8)","64.7 (61.5, 67.8)","70.0 (68.3, 71.8)","60.3 (58.4, 62.3)","62.2 (58.6, 65.9)","70.3 (68.3, 72.3)","59.9 (57.7, 62.1)","64.8 (46.2, 82.4)","58.1 (45.6, 70.0)","48.5 (38.0, 60.6)","76.4 (69.6, 83.0)","70.5 (66.5, 75.1)","64.5 (60.4, 69.2)"
3507,"0.66 (0.47, 0.89)","27.9 (27.7, 28.1)","1.30 (0.87, 1.78)","28.6 (28.4, 28.8)","0.39 (0.00, 1.01)","26.5 (25.7, 27.4)","0.21 (0.08, 0.37)","24.9 (24.4, 25.3)","64.9 (61.5, 68.3)","78.3 (76.6, 80.0)","68.8 (66.9, 70.9)","62.4 (58.9, 66.3)","80.8 (79.0, 82.5)","70.3 (68.1, 72.4)","65.2 (46.2, 83.3)","57.4 (46.5, 70.3)","49.3 (38.9, 60.6)","76.5 (68.9, 83.6)","70.4 (65.7, 74.7)","65.3 (60.5, 69.7)"
3508,"0.50 (0.33, 0.72)","35.6 (35.5, 35.9)","0.96 (0.61, 1.41)","36.6 (36.4, 36.8)","0.37 (0.00, 0.82)","32.9 (32.3, 33.3)","0.16 (0.06, 0.29)","31.5 (31.1, 31.9)","64.7 (61.4, 68.1)","84.4 (83.0, 85.9)","75.4 (73.4, 77.2)","62.2 (58.5, 66.0)","88.4 (86.9, 89.9)","78.3 (76.1, 80.2)","65.0 (45.8, 82.6)","57.6 (45.0, 68.9)","50.0 (38.7, 61.0)","76.5 (69.2, 83.1)","70.2 (65.6, 74.5)","65.7 (60.7, 70.2)"